num_rolls,num_experiments,mean,variance
47,1000,163.933,131.73851099999996
47,5000,164.7594,140.14951164
47,10000,164.6708,137.88482736
47,50000,164.54986,137.3248339804
47,100000,164.52502,136.8206139996
48,100,166.44,132.5664
48,500,166.5,136.878
48,1000,167.401,138.58619900000002
48,5000,168.193,142.48415100000003
48,10000,167.9354,134.22622683999998
48,50000,167.9508,141.84461936
48,100000,168.02823,139.4975130671
49,100,171.24,157.22240000000002
49,500,171.668,162.609776
49,1000,171.63,136.73709999999997
49,5000,171.4946,140.68477084
49,10000,171.3783,144.21938911
49,50000,171.45996,143.0019567984
49,100000,171.58481,142.7521472639
50,100,174.55,168.9875
50,500,175.254,139.821484
50,1000,174.939,147.13527899999997
50,5000,174.969,143.238839
50,10000,175.0617,145.50509311
50,50000,174.92764,146.2863640304
50,100000,174.97087,146.0284414431
